时序变量转换_Y,时序变量转换_X1,时序变量转换_X2,时序变量转换_X3,时序变量转换_X4,时序变量转换_X5,Date,Value
609.11,621.65,609.67,610.92,608.82,610.38,9/11/16,621.65
607.04,609.67,610.92,608.82,610.38,609.11,9/12/16,609.67
611.58,610.92,608.82,610.38,609.11,607.04,9/13/16,610.92
610.19,608.82,610.38,609.11,607.04,611.58,9/14/16,608.82
608.66,610.38,609.11,607.04,611.58,610.19,9/15/16,610.38
598.88,609.11,607.04,611.58,610.19,608.66,9/16/16,609.11
597.42,607.04,611.58,610.19,608.66,598.88,9/17/16,607.04
594.08,611.58,610.19,608.66,598.88,597.42,9/18/16,611.58
603.88,610.19,608.66,598.88,597.42,594.08,9/19/16,610.19
601.74,608.66,598.88,597.42,594.08,603.88,9/20/16,608.66
598.98,598.88,597.42,594.08,603.88,601.74,9/21/16,598.88
605.96,597.42,594.08,603.88,601.74,598.98,9/22/16,597.42
605.67,594.08,603.88,601.74,598.98,605.96,9/23/16,594.08
603.85,603.88,601.74,598.98,605.96,605.67,9/24/16,603.88
609.39,601.74,598.98,605.96,605.67,603.85,9/25/16,601.74
614.82,598.98,605.96,605.67,603.85,609.39,9/26/16,598.98
612.98,605.96,605.67,603.85,609.39,614.82,9/27/16,605.96
611.85,605.67,603.85,609.39,614.82,612.98,9/28/16,605.67
609.62,603.85,609.39,614.82,612.98,611.85,9/29/16,603.85
607.18,609.39,614.82,612.98,611.85,609.62,9/30/16,609.39
612.08,614.82,612.98,611.85,609.62,607.18,10/1/16,614.82
617.21,612.98,611.85,609.62,607.18,612.08,10/2/16,612.98
614.74,611.85,609.62,607.18,612.08,617.21,10/3/16,611.85
615.65,609.62,607.18,612.08,617.21,614.74,10/4/16,609.62
617.54,607.18,612.08,617.21,614.74,615.65,10/5/16,607.18
614.77,612.08,617.21,614.74,615.65,617.54,10/6/16,612.08
635.01,617.21,614.74,615.65,617.54,614.77,10/7/16,617.21
635.96,614.74,615.65,617.54,614.77,635.01,10/8/16,614.74
