Value,USD (PM)
621.65,
609.67,1324.6
610.92,1323.65
608.82,1321.75
610.38,1310.8
609.11,1308.35
607.04,1308.35
611.58,1308.35
610.19,1314.85
608.66,1313.8
598.88,1326.1
597.42,1339.1
594.08,1338.65
603.88,1338.65
601.74,1338.65
598.98,1340.5
605.96,1327.0
605.67,1322.5
603.85,1318.1
609.39,1322.5
614.82,1322.5
612.98,1322.5
611.85,1313.3
609.62,1283.3
607.18,1269.4
612.08,1254.5
617.21,1258.75
614.74,1258.75
615.65,1258.75
617.54,1259.5
614.77,1253.45
635.01,1256.5
635.96,1261.05
634.02,1251.75
637.94,1251.75
641.42,1251.75
638.97,1254.8
636.29,1258.2
629.25,1269.05
627.72,1271.65
631.92,1266.05
655.48,1266.05
653.25,1266.05
651.39,1265.55
655.31,1269.4
651.45,1270.5
682.22,1266.25
687.68,1273.0
685.91,1273.0
698.0,1273.0
702.0,1272.0
697.01,1288.45
733.33,1303.75
686.17,1301.0
683.69,1302.8
704.79,1302.8
712.0,1302.8
709.96,1283.05
708.97,1282.35
720.93,1281.4
721.5,1267.5
715.45,1236.45
703.71,1236.45
702.28,1236.45
706.46,1213.6
710.91,1226.95
711.73,1229.2
736.96,1226.75
747.52,1211.0
748.98,1211.0
729.06,1211.0
738.53,1214.25
736.97,1212.25
741.63,1185.35
737.45,1186.1
735.64,1187.7
733.67,1187.7
727.96,1187.7
727.31,1187.0
732.71,1186.55
742.69,1178.1
742.05,1161.85
772.43,1173.5
764.33,1173.5
762.97,1173.5
754.63,1162.2
756.62,1172.5
758.99,1177.65
769.72,1171.05
770.02,1163.6
769.08,1163.6
777.0,1163.6
777.0,1156.1
777.99,1158.55
774.89,1162.25
776.75,1126.95
775.88,1131.6
788.7,1131.6
788.4,1131.6
788.67,1136.25
793.09,1125.7
824.21,1133.65
834.97,1131.35
901.31,1131.35
891.61,1131.35
892.6,1131.35
897.33,1131.35
930.37,1131.35
930.34,1134.6
963.38,1145.9
952.15,1145.9
958.12,1145.9
997.72,1145.9
1015.97,1145.9
1013.42,1151.0
1126.76,1164.25
994.67,1176.7
999.65,1175.85
896.83,1175.85
908.14,1175.85
910.49,1178.5
906.05,1189.5
785.22,1178.55
780.92,1205.05
826.29,1190.35
817.91,1190.35
819.55,1190.35
830.5,1203.0
903.84,1216.05
906.6,1214.75
895.8,1196.05
893.62,1200.55
895.64,1200.55
918.6,1200.55
922.07,1212.85
919.97,1216.8
893.05,1195.0
915.96,1189.7
915.05,1184.85
920.31,1184.85
915.93,1184.85
912.19,1192.8
964.71,1212.8
979.7,1203.65
983.42,1221.95
1013.03,1215.2
1031.0,1215.2
1034.07,1215.2
1024.01,1226.75
1050.11,1231.0
1052.84,1242.1
976.1,1236.8
999.1,1228.3
997.59,1228.3
1000.6,1228.3
999.88,1222.25
1001.2,1230.75
1012.33,1224.4
1035.21,1240.55
1035.2,1241.95
1056.64,1241.95
1052.78,1241.95
1050.87,1237.3
1123.79,1233.2
1123.22,1236.65
1130.01,1247.9
1174.87,1253.65
1150.61,1253.65
1150.37,1253.65
1190.75,1257.2
1187.57,1255.6
1190.89,1240.4
1259.41,1238.1
1285.14,1226.5
1287.0,1226.5
1270.93,1226.5
1275.2,1230.95
1279.5,1216.65
1157.39,1209.2
1192.47,1206.55
1192.09,1202.65
1179.16,1202.65
1227.49,1202.65
1227.68,1204.2
1245.37,1204.6
1257.4,1198.8
1257.0,1229.35
1091.17,1229.6
952.23,1229.6
967.69,1229.6
1049.08,1232.4
1118.63,1241.6
1113.0,1249.05
1038.79,1247.5
941.92,1247.5
927.93,1247.5
956.79,1247.5
1037.23,1257.55
1041.04,1257.25
1040.58,1251.1
1037.9,1248.8
1034.74,1244.85
1086.93,1244.85
1099.17,1244.85
1079.99,1247.25
1141.6,1257.65
1133.08,1245.8
1133.53,1252.5
1190.45,1266.45
1181.15,1266.45
1184.03,1266.45
1207.74,1250.05
1226.62,1252.9
1219.09,1274.3
1180.02,1284.15
1185.26,1284.15
1170.36,1284.15
1186.93,1284.15
1205.63,1284.15
1176.97,1278.95
1217.93,1279.05
1241.69,1282.1
1236.63,1281.85
1261.31,1281.85
1257.99,1281.85
1240.84,1269.4
1279.41,1267.8
1309.11,1261.85
1288.02,1262.8
1331.29,1266.45
1334.98,1266.45
1333.0,1266.45
1417.17,1266.45
1452.08,1255.45
1447.55,1250.3
1508.29,1228.45
1533.34,1228.05
1518.75,1228.05
1535.87,1228.05
1640.62,1229.8
1651.1,1220.4
1762.89,1222.95
1820.99,1223.15
1829.0,1231.25
1771.92,1231.25
1776.32,1231.25
1780.0,1233.3
1739.03,1234.2
1807.49,1257.4
1783.98,1255.9
1961.52,1252.0
2052.91,1252.0
2008.84,1252.0
2090.66,1258.85
2287.71,1260.2
2256.32,1252.55
2387.21,1256.95
2211.98,1265.05
2279.82,1265.05
2192.98,1265.05
2275.93,1265.05
2290.02,1262.7
2285.93,1266.2
2399.24,1264.85
2409.93,1274.95
2525.77,1274.95
2516.17,1274.95
2529.53,1279.95
2883.31,1293.5
2664.92,1291.0
2683.03,1273.1
2827.49,1266.55
2845.37,1266.55
2898.63,1266.55
2657.68,1266.4
2748.19,1262.0
2706.0,1275.5
2442.48,1254.55
2464.96,1255.4
2477.94,1255.4
2507.39,1255.4
2617.21,1248.15
2600.0,1242.2
2671.04,1242.5
2727.29,1250.8
2713.48,1255.7
2589.16,1255.7
2512.37,1255.7
2502.03,1245.25
2517.9,1249.55
2585.35,1248.0
2558.3,1243.5
2477.64,1242.25
2501.19,1242.25
2421.26,1242.25
2561.23,1229.25
2599.73,1223.75
2598.89,1220.3
2609.97,1224.9
2491.2,1215.65
2502.86,1215.65
2536.24,1215.65
2366.17,1211.9
2327.09,1211.05
2385.75,1218.8
2354.78,1218.9
2338.49,1230.3
2059.0,1230.3
1931.21,1230.3
1910.96,1234.1
2320.12,1240.75
2264.77,1242.15
2265.21,1238.7
2682.2,1248.55
2807.61,1248.55
2825.51,1248.55
2751.82,1255.55
2561.0,1254.4
2564.3,1248.1
2647.62,1261.1
2781.64,1264.9
2784.8,1264.9
2745.96,1264.9
2866.43,1267.55
2862.9,1270.95
2693.63,1269.6
2794.12,1268.1
2790.0,1257.7
3218.12,1257.7
3252.56,1257.7
3210.2,1258.0
3457.37,1261.8
3357.33,1271.05
3340.28,1284.4
3632.51,1286.1
3852.8,1286.1
3868.52,1286.1
4282.99,1282.3
4217.03,1270.3
4179.97,1272.75
4328.73,1285.15
4130.44,1295.8
4104.71,1295.8
4157.96,1295.8
4043.72,1292.9
3986.28,1284.2
4174.95,1286.65
4340.32,1289.0
4331.77,1285.3
4360.51,1285.3
4354.31,1285.3
4339.05,1285.3
4607.99,1318.65
4594.99,1308.5
4582.52,1311.75
4911.74,1320.4
4580.39,1320.4
4585.57,1320.4
4344.1,1333.1
4488.72,1335.55
4385.02,1337.85
4654.66,1343.5
4310.75,1346.25
4312.26,1346.25
4329.95,1346.25
4248.09,1334.2
4198.59,1326.5
3961.27,1327.55
3319.63,1324.55
3216.43,1322.85
3763.63,1322.85
3746.06,1322.85
3678.53,1312.1
3943.41,1309.6
3977.56,1311.3
3894.48,1292.1
3637.5,1294.8
3776.39,1294.8
3777.62,1294.8
3942.55,1293.3
3910.31,1300.05
3881.0,1282.55
4201.99,1283.35
4193.57,1283.1
4164.27,1283.1
4360.72,1283.1
4386.88,1273.7
4394.07,1271.25
